# Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info	Consumable	Wilderness level	Varbits	VarPlayers
# Ardougne cloaks (2 has 3 teleports to farm, 3 has 5 teleports to farm, 4 has unlimited teleports to farm) PS: varbit 6069 is only lowbits, highbits is not transmitted										
2824 10168 0			11988=1||11986=1||11984=1||11982=1||11980=1||20790=1||20789=1||20788=1||20787=1||20786=1	Between a Rock...	4	Ring of wealth: Dondakan	T	30	299=10	
										
# Slayer ring (1-8)										
2431 3422 0			11866=1||11867=1||11868=1||11869=1||11870=1||11871=1||11872=1||11873=1		4	Slayer ring: Stronghold	T	30		
3421 3537 0			11866=1||11867=1||11868=1||11869=1||11870=1||11871=1||11872=1||11873=1	Priest in Peril	4	Slayer ring: Slayer Tower	T	30		
2802 9999 0			11866=1||11867=1||11868=1||11869=1||11870=1||11871=1||11872=1||11873=1		4	Slayer ring: Fremennik	T	30		
3185 4601 0			11866=1||11867=1||11868=1||11869=1||11870=1||11871=1||11872=1||11873=1	Haunted Mine	4	Slayer ring: Tarn's Lair	T	30		
2028 4636 0			11866=1||11867=1||11868=1||11869=1||11870=1||11871=1||11872=1||11873=1	Mourning's End Part II	4	Slayer ring: Dark Beasts	T	30		
										
# Slayer ring (eternal)										
2431 3422 0			21268=1		4	Slayer ring: Stronghold	F	30		
3421 3537 0			21268=1	Priest in Peril	4	Slayer ring: Slayer Tower	F	30		
2802 9999 0			21268=1		4	Slayer ring: Fremennik	F	30		
3185 4601 0			21268=1	Haunted Mine	4	Slayer ring: Tarn's Lair	F	30		
2028 4636 0			21268=1	Mourning's End Part II	4	Slayer ring: Dark Beasts	F	30		
										
# Digsite pendant (can't find a varbit for the other location's activation)										
3341 3445 0			11190=1||11191=1||11192=1||11193=1||11194=1		4	Digsite pendant: Digsite	T	20		
3763 3869 1			11190=1||11191=1||11192=1||11193=1||11194=1	Bone Voyage	4	Digsite pendant: Fossil Island	T	20		
3549 10456 0			11190=1||11191=1||11192=1||11193=1||11194=1	Dragon Slayer II	4	Digsite pendant: Lithkren	T	20		
										
# Necklace of passage (1-5)										
3114 3179 0			21146=1||21149=1||21151=1||21153=1||21155=1		4	Necklace of passage: Wizards' Tower	T	20		
2430 3349 0			21146=1||21149=1||21151=1||21153=1||21155=1		4	Necklace of passage: The Outpost	T	20		
3405 3158 0			21146=1||21149=1||21151=1||21153=1||21155=1		4	Necklace of passage: Eagle's Eyrie	T	20		
										
# Burning amulet										
3234 3634 0			21166=1||21169=1||21171=1||21173=1||21175=1		4	Burning amulet: Chaos Temple	T	20		
3038 3651 0			21166=1||21169=1||21171=1||21173=1||21175=1		4	Burning amulet: Bandit Camp	T	20		
3028 3842 0			21166=1||21169=1||21171=1||21173=1||21175=1		4	Burning amulet: Lava Maze	T	20		
										
# Teleport to house (tablet) - These depend on the current player's home location, determined by varbit 2187, and teleport inside or outside determined by varbit 4744										
# Shows (Inside) or (Outside) only if that is not the current default for the player.										
1923 5709 0			8013=1		4	Teleport to House tablet	T	20	4744=0	
1923 5709 0			8013=1		4	Teleport to House tablet (Inside)	T	20	4744=1	
# 1 - Rimmington										
2953 3224 0			8013=1		4	Teleport to House tablet	T	20	2187=1;4744=1	
2953 3224 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=1;4744=0	
# 2 - Taverly										
2893 3465 0			8013=1		4	Teleport to House tablet	T	20	2187=2;4744=1	
2893 3465 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=2;4744=0	
# 3 - Pollnivneach										
3340 3003 0			8013=1		4	Teleport to House tablet	T	20	2187=3;4744=1	
3340 3003 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=3;4744=0	
# 4 - Rellekka										
2670 3631 0			8013=1		4	Teleport to House tablet	T	20	2187=4;4744=1	
2670 3631 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=4;4744=0	
# 5 - Brimhaven										
2757 3178 0			8013=1		4	Teleport to House tablet	T	20	2187=5;4744=1	
2757 3178 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=5;4744=0	
# 6 - Yanille										
2544 3096 0			8013=1		4	Teleport to House tablet	T	20	2187=6;4744=1	
2544 3096 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=6;4744=0	
# 7 - Prifddinas										
3239 6076 0			8013=1		4	Teleport to House tablet	T	20	2187=7;4744=1	
3239 6076 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=7;4744=0	
# 8 - Hosidius										
1743 3517 0			8013=1		4	Teleport to House tablet	T	20	2187=8;4744=1	
1743 3517 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=8;4744=0	
# 9 - Aldarin										
1422 2963 0			8013=1		4	Teleport to House tablet	T	20	2187=9;4744=1	
1422 2963 0			8013=1		4	Teleport to House tablet (Outside)	T	20	2187=9;4744=0	
										
#  Teleport tablets										
3213 3424 0			8007=1		4	Varrock tablet	T	20		
# Varbit 4480 is DIARY_VARROCK_MEDIUM										
3165 3479 0			8007=1		4	Varrock tablet: GE	T	20	4480=1	
2964 3378 0			8009=1		4	Falador tablet	T	20		
3221 3218 0			8008=1		4	Lumbridge tablet	T	20		
2757 3479 0			8010=1		4	Camelot tablet	T	20		
2662 3305 0			8011=1	Plague City	4	Ardougne tablet	T	20		
2546 3112 0			8012=1	Watchtower	4	Watchtower tablet	T	20		
# Varbit 4460 is DIARY_ARDOUGNE_HARD										
2584 3097 0			8012=1	Watchtower	4	Watchtower tablet: Yanille	T	20	4460=1	
2953 3224 0			11741=1		4	Rimmington tablet	T	20		
2893 3465 0			11742=1		4	Taverley tablet	T	20		
3340 3004 0			11743=1		4	Pollnivneach tablet	T	20		
2670 3631 0			11744=1		4	Rellekka tablet	T	20		
2757 3179 0			11745=1		4	Brimhaven tablet	T	20		
2544 3096 0			11746=1		4	Yanille tablet	T	20		
2890 3679 0			11747=1		4	Trollheim tablet	T	20		
1743 3517 0			19651=1		4	Hosidius tablet	T	20		
3239 6077 0			23771=1		4	Prifddinas tablet	T	20		
3097 9881 0			12781=1	Desert Treasure I	4	Paddewwa tablet	T	20		
3320 3337 0			12782=1	Desert Treasure I	4	Senntisten tablet	T	20		
3494 3473 0			12779=1	Desert Treasure I	4	Kharyrll tablet	T	20		
3004 3470 0			12780=1	Desert Treasure I	4	Lassar tablet	T	20		
2968 3696 0			12777=1	Desert Treasure I	4	Dareeyak tablet	T	20		
3158 3666 0			12776=1	Desert Treasure I	4	Carrallanger tablet	T	20		
3288 3888 0			12775=1	Desert Treasure I	4	Annakarl tablet	T	20		
2976 3875 0			12778=1	Desert Treasure I	4	Ghorrock tablet	T	20		
2113 3915 0			24949=1	Lunar Diplomacy	4	Moonclan tablet	T	20		
2468 3246 0			24951=1	Lunar Diplomacy	4	Ourania tablet	T	20		
2546 3755 0			24953=1		4	Waterbirth tablet	T	20		
2543 3569 0			24955=1		4	Barbarian tablet	T	20		
2636 3167 0			24957=1		4	Khazard tablet	T	20		
2613 3391 0			24959=1		4	Fishing guild tablet	T	20		
2801 3449 0			24961=1		4	Catherby tablet	T	20		
2975 3938 0			24963=1		4	Ice plateau tablet	T	20		
1632 3837 0			19613=1		4	Arceuus Library tablet	T	20		
3109 3351 0			19615=1		4	Draynor Manor tablet	T	20		
1347 3740 0			22949=1		4	Battlefront tablet	T	20		
2979 3510 0			19617=1		4	Mind Altar tablet	T	20		
3433 3461 0			19619=1	Priest in Peril	4	Salve Graveyard tablet	T	20		
3548 3529 0			19621=1	Priest in Peril	4	Fenkenstrain's Castle tablet	T	20		
2500 3290 0			19623=1	Biohazard	4	West Ardougne tablet	T	20		
3797 2866 0			19625=1	The Great Brain Robbery	4	Harmony Island tablet	T	20		
2981 3764 0			19627=1		4	Cemetery tablet	T	20		
3564 3315 0			19629=1	Priest in Peril	4	Barrows tablet	T	20		
2771 9102 0			19631=1	Monkey Madness I	4	Ape Atoll tablet	T	20		
3811 3813 0			21541=1		4	Volcanic Mine tablet	T	20		
3352 3782 0			24251=1		4	Wilderness Crabs tablet	T	20		
										
#  Teleport scrolls										
3419 2917 0			12402=1		4	Nardah teleport	T	20		
3419 2917 0			21389=1		4	Master scroll book: Nardah teleport	T	20	5672>0	
3325 3412 0			12403=1		4	Digsite teleport	T	20		
3325 3412 0			21389=1		4	Master scroll book: Digsite teleport	T	20	5673>0	
2541 2925 0			12404=1		4	Feldip hills teleport	T	20		
2541 2925 0			21389=1		4	Master scroll book: Feldip hills teleport	T	20	5674>0	
2094 3913 0			12405=1	Lunar Diplomacy	4	Lunar isle teleport	T	20		
2094 3913 0			21389=1	Lunar Diplomacy	4	Master scroll book: Lunar isle teleport	T	20	5675>0	
3488 3288 0			12406=1	Priest in Peril	4	Mort'ton teleport	T	20		
3488 3288 0			21389=1	Priest in Peril	4	Master scroll book: Mort'ton teleport	T	20	5676>0	
2658 2659 0			12407=1		4	Pest control teleport	T	20		
2658 2659 0			21389=1		4	Master scroll book: Pest control teleport	T	20	5677>0	
2339 3649 0			12408=1		4	Piscatoris teleport	T	20		
2339 3649 0			21389=1		4	Master scroll book: Piscatoris teleport	T	20	5678>0	
2789 3066 0			12409=1	Tai Bwo Wannai Trio	4	Tai bwo wannai teleport	T	20		
2789 3066 0			21389=1	Tai Bwo Wannai Trio	4	Master scroll book: Tai bwo wannai teleport	T	20	5679>0	
2194 3258 0			12410=1	Regicide	4	Iorwerth camp teleport	T	20		
2194 3258 0			21389=1	Regicide	4	Master scroll book: Iorwerth camp teleport	T	20	5680>0	
3701 2996 0			12411=1	Cabin Fever	4	Mos le'harmless teleport	T	20		
3701 2996 0			21389=1	Cabin Fever	4	Master scroll book: Mos le'harmless teleport	T	20	5681>0	
3302 3487 0			12642=1		4	Lumberyard teleport	T	20		
3302 3487 0			21389=1		4	Master scroll book: Lumberyard teleport	T	20	5682>0	
2196 3056 0			12938=1	Regicide	4	Zul-andra teleport	T	20		
2196 3056 0			21389=1	Regicide	4	Master scroll book: Zul-andra teleport	T	20	5683>0	
1310 1250 0			13249=1		4	Key master teleport	T	20		
1310 1250 0			21389=1		4	Master scroll book: Key master teleport	T	20	5684>0	
3128 3832 0			21802=1		4	Revenant cave teleport	T	20		
3128 3832 0			21389=1		4	Master scroll book: Revenant cave teleport	T	20	6056>0	
1645 3580 0			23387=1		4	Watson teleport	T	20		
1645 3580 0			21389=1		4	Master scroll book: Watson teleport	T	20	8253>0	
										
# Capes										
2931 3286 0		99 Crafting	9780=1||9781=1		4	Crafting cape: Teleport	F	20		
# The Construction cape's home teleports, determined by varbit 2187, and teleport inside or outside determined by varbit 4744										
1923 5709 0			9789=1||9790=1		4	Construction cape: Tele to POH	F	20	4744=0	
# 1 - Rimmington										
2952 3224 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=1;4744=1	
# 2 - Taverly										
2892 3465 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=2;4744=1	
# 3 - Pollnivneach										
3339 3001 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=3;4744=1	
# 4 - Rellekka										
2669 3629 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=4;4744=1	
# 5 - Brimhaven										
2756 3176 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=5;4744=1	
# 6 - Yanille										
2545 3097 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=6;4744=1	
# 7 - Prifddinas										
3239 6077 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=7;4744=1	
# 8 - Hosidius										
1740 3517 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=8;4744=1	
# 9 - Aldarin										
1422 2963 0			9789=1||9790=1		4	Construction cape: Home	F	20	2187=9;4744=1	
2952 3224 0		99 Construction	9789=1||9790=1		4	Construction cape: Rimmington	F	20		
2892 3465 0		99 Construction	9789=1||9790=1		4	Construction cape: Taverley	F	20		
3339 3001 0		99 Construction	9789=1||9790=1		4	Construction cape: Pollnivneach	F	20		
1743 3517 0		99 Construction	9789=1||9790=1		4	Construction cape: Hosidius	F	20		
2669 3629 0		99 Construction	9789=1||9790=1		4	Construction cape: Rellekka	F	20		
2756 3176 0		99 Construction	9789=1||9790=1		4	Construction cape: Brimhaven	F	20		
2545 3097 0		99 Construction	9789=1||9790=1		4	Construction cape: Yanille	F	20		
3239 6077 0		99 Construction	9789=1||9790=1		4	Construction cape: Prifddinas	F	20		
2604 3401 0		99 Fishing	9798=1||9799=1		4	Fishing cape: Fishing Guild	F	20		
2504 3484 0		99 Fishing	9798=1||9799=1		4	Fishing cape: Otto's Grotto	F	20		
1248 3725 0		99 Farming	9810=1||9811=1		4	Farming cape: Teleport	F	20		
2556 2917 0		99 Hunter	9948=1||9949=1		4	Hunter cape: Feldip Hills	T	20	4819<5	
3144 3772 0		99 Hunter	9948=1||9949=1		4	Hunter cape: Black chinchompa	T	20	4819<5	
1558 3046 0		99 Hunter	9948=1||9949=1		4	Hunter cape: Hunter Guild	F	20		
2865 3546 0		99 Strength	9750=1||9751=1		4	Strength cape: Teleport	F	20		
# Max capes										
# The Max cape's home teleports, determined by varbit 2187, and teleport inside or outside determined by varbit 4744										
1923 5709 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	4744=0	
# 1 - Rimmington										
2952 3224 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=1;4744=1	
# 2 - Taverly										
2892 3465 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=2;4744=1	
# 3 - Pollnivneach										
3339 3001 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=3;4744=1	
# 4 - Rellekka										
2669 3629 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=4;4744=1	
# 5 - Brimhaven										
2756 3176 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=5;4744=1	
# 6 - Yanille										
2545 3097 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=6;4744=1	
# 7 - Prifddinas										
3239 6077 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=7;4744=1	
# 8 - Hosidius										
1740 3517 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=8;4744=1	
# 9 - Aldarin										
1422 2963 0		2376 Total	13280=1||13342=1		4	Max cape: Tele to POH	F	20	2187=9;4744=1	
2952 3224 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Rimmington	F	20		
2892 3465 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Taverley	F	20		
3339 3001 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Pollnivneach	F	20		
1743 3517 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Hosidius	F	20		
2669 3629 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Rellekka	F	20		
2756 3176 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Brimhaven	F	20		
2545 3097 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Yanille	F	20		
3239 6077 0		2376 Total	13280=1||13342=1		4	Max cape: POH Portals: Prifddinas	F	20		
2865 3546 0		2376 Total	13280=1||13342=1		4	Max cape: Warriors' Guild	F	20		
2604 3401 0		2376 Total	13280=1||13342=1		4	Max cape: Fishing Teleports: Fishing Guild	F	20		
2504 3484 0		2376 Total	13280=1||13342=1		4	Max cape: Fishing Teleports: Otto's Grotto	F	20		
2931 3286 0		2376 Total	13280=1||13342=1		4	Max cape: Crafting Guild	F	20		
2556 2917 0		2376 Total	13280=1||13342=1		4	Max cape: Other Teleports: Feldip Hills	T	20		
3144 3772 0		2376 Total	13280=1||13342=1		4	Max cape: Other Teleports: Black chinchompa	T	20		
1558 3046 0		2376 Total	13280=1||13342=1		4	Max cape: Other Teleports: Hunter Guild	F	20		
1248 3725 0		2376 Total	13280=1||13342=1		4	Max cape: Other Teleports: Farming Guild	F	20		
3048 2972 0		2376 Total	13280=1||13342=1		4	Max cape: Other Teleports: The Pandemonium	F	20		
2729 3348 0		327 Quest	9813=1||13068=1		4	Quest point cape: Teleport	F	20		
2689 3547 0			13221=1||13222=1		4	Music cape: Teleport	F	20		
2574 3323 0			13069=1||19476=1		4	Achievement diary cape: 1. Two-pints	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
3302 3122 0			13069=1||19476=1		4	Achievement diary cape: 2. Jarr	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2689 3547 0			13069=1||19476=1		4	Achievement diary cape: 3. Sir Rebral	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2689 3547 0			13069=1||19476=1		4	Achievement diary cape: 4. Thorodin	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2978 3347 0			13069=1||19476=1		4	Achievement diary cape: 3. Sir Rebral	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2659 3627 0			13069=1||19476=1		4	Achievement diary cape: 4. Thorodin	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2744 3443 0			13069=1||19476=1		4	Achievement diary cape: 5. Flax keeper	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2808 3192 0			13069=1||19476=1		4	Achievement diary cape: 6. Pirate Jackie the Fruit	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2862 2997 0			13069=1||19476=1		4	Achievement diary cape: 7. Kaleb Paramaya	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2795 2945 0			13069=1||19476=1		4	Achievement diary cape: 8. Jungle forester	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2455 5133 0			13069=1||19476=1		4	Achievement diary cape: 9. TzHaar-Mej	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
1648 3665 0			13069=1||19476=1		4	Achievement diary cape: A. Elise	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
3234 3214 0			13069=1||19476=1		4	Achievement diary cape: B. Hatius Cosaintus	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
3465 3478 0			13069=1||19476=1		4	Achievement diary cape: C. Le-sabrè	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
3225 3415 0			13069=1||19476=1		4	Achievement diary cape: D. Toby	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
3121 3516 0			13069=1||19476=1		4	Achievement diary cape: E. Lesser Fanatic	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
2467 3459 0			13069=1||19476=1		4	Achievement diary cape: F. Elder Gnome child	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
