# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Quests	Varbits	Duration	Display info
# Keldagrim, Grand Exchange								
1413 3577 0		Travel Minecart 28835				7796=11		
1415 3577 0		Travel Minecart 28835				7796=11		
								
# Arceuus								
	1670 3833 0					7796=11	5	1: Arceuus
# Farming Guild								
	1218 3737 0					7796=11	5	2: Farming Guild
# Hosidius South								
	1808 3479 0					7796=11	5	3: Hosidius South
# Hosidius West								
	1655 3543 0					7796=11	5	4: Hosidius West
# Kingstown								
	1699 3660 0					7796=11	5	5: Kingstown
# Kourend Woodland								
	1572 3466 0					7796=11	5	6: Kourend Woodland
# Lovakengj								
	1518 3733 0					7796=11	5	7: Lovakengj
# Mount Quidamortem								
	1255 3548 0					7796=11	5	8: Mount Quidamortem
# Northern Tundras (Wintertodt)								
	1648 3931 0					7796=11	5	9: Northern Tundras
# Port Piscarilius								
	1761 3710 0					7796=11	5	A: Port Piscarilius
# Shayzien East								
	1590 3620 0					7796=11	5	B: Shayzien East
# Shayzien West								
	1415 3577 0					7796=11	5	C: Shayzien West
