# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Varbits	VarPlayers	Duration	Quests
3259 3179 0	3246 3179 0	Grapple Broken Raft 17068	8 Agility;37 Ranged;19 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2546 2873 0	2546 2871 0	Climb Rocks 31757	10 Agility					
2546 2871 0	2546 2873 0	Climb Rocks 31757	10 Agility					
2766 3665 0	2766 3663 0	Use Rope -> Boulder 5842	10 Agility	ROPE=1	260>0		10	
3033 3390 0	3033 3389 1	Grapple Wall 17049	11 Agility;19 Ranged;37 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
3032 3388 0	3032 3389 1	Grapple Wall 17050	11 Agility;19 Ranged;37 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
3240 3335 0	3240 3334 0	Jump-over Fence 16518	13 Agility				2	
3240 3334 0	3240 3335 0	Jump-over Fence 16518	13 Agility				2	
3219 9618 0	3221 9618 0	Squeeze-through Hole 6905	13 Agility		532>3		3	
3221 9618 0	3219 9618 0	Squeeze-through Hole 6905	13 Agility		532>3		3	
2926 3522 0	2928 3520 0	Manoeuvre-past Tight-gap 16468	14 Agility		4462=1		5	
2927 3523 0	2928 3520 0	Manoeuvre-past Tight-gap 16468	14 Agility		4462=1		5	
2928 3520 0	2927 3523 0	Manoeuvre-past Tight-gap 16468	14 Agility		4462=1		5	
2820 3635 0	2822 3635 0	Climb Rocks 3748	15 Agility	CLIMBING_BOOTS=1				
2857 3611 0	2857 3613 0	Climb Rocks 3748	15 Agility	CLIMBING_BOOTS=1				
2856 3611 0	2856 3613 0	Climb Rocks 3748	15 Agility	CLIMBING_BOOTS=1				
2795 2978 0	2791 2978 0	Climb Rocks 2231	15 Agility				5	
2795 2979 0	2791 2979 0	Climb Rocks 2231	15 Agility				5	
2795 2980 0	2791 2980 0	Climb Rocks 2231	15 Agility				5	
2791 2978 0	2795 2978 0	Climb Rocks 2231	15 Agility				5	
2791 2979 0	2795 2979 0	Climb Rocks 2231	15 Agility				5	
2791 2980 0	2795 2980 0	Climb Rocks 2231	15 Agility				5	
1981 8994 1	1981 8998 1	Jump-to Pillar 31809	15 Agility		6076=1		5	
1981 8999 1	1981 8994 1	Jump-to Pillar 31809	15 Agility		6076=1		6	
1981 8998 1	1981 8994 1	Jump-to Pillar 31809	15 Agility		6076=1		5	
3120 9963 0	3120 9970 0	Swing across Monkeybars 23566	15 Agility				8	
3120 9970 0	3120 9963 0	Swing across Monkeybars 23566	15 Agility				8	
2575 3107 0	2575 3112 0	Climb-under Castle wall 16519	16 Agility					
2575 3112 0	2575 3107 0	Climb-into Hole 16520	16 Agility					
1706 10078 0	1716 10056 0	Squeeze-through Crack 28892	17 Agility				2	
1716 10056 0	1706 10078 0	Squeeze-through Crack 28892	17 Agility				2	
1647 10010 0	1645 10000 0	Squeeze-through Crack 28892	17 Agility					
1645 10000 0	1647 10010 0	Squeeze-through Crack 28892	17 Agility					
3444 3533 0	3442 3531 0	Climb-through Broken window 2173	18 Agility				4	
3442 3531 0	3444 3533 0	Climb-through Broken window 2173	18 Agility				4	
2548 3119 0	2548 3117 1	Climb-up Trellis 20056	18 Agility				3	
1711 9824 0	1711 9820 0	Enter Crevice 31695	18 Agility				2	
1711 9820 0	1711 9824 0	Enter Crevice 31696	18 Agility				2	
1708 9800 0	1702 9800 0	Cross Stepping stone 31699	18 Agility				8	
1702 9800 0	1708 9800 0	Cross Stepping stone 31699	18 Agility				8	
1689 9801 0	1687 9801 0	Climb Rock 31679	18 Agility				4	
1687 9801 0	1689 9801 0	Climb Rock 31679	18 Agility				4	
3442 3531 0	3444 3533 0	Climb-through Broken window 57679	18 Agility				4	
3444 3533 0	3442 3531 0	Climb-through Broken window 57679	18 Agility				4	
2603 3477 0	2598 3477 0	Walk-across Log balance 23274	20 Agility					
2599 3478 0	2603 3477 0	Walk-across Log balance 23274	20 Agility					
2602 3478 0	2598 3477 0	Walk-across Log balance 23274	20 Agility					
2598 3477 0	2603 3477 0	Walk-across Log balance 23274	20 Agility					
2602 3476 0	2598 3477 0	Walk-across Log balance 23274	20 Agility					
2599 3476 0	2603 3477 0	Walk-across Log balance 23274	20 Agility					
3273 3195 0	3273 3192 3	Climb Rough wall 11633	20 Agility				4	
3272 3182 3	3272 3172 3	Cross Tightrope 14398	20 Agility				12	
3268 3166 3	3284 3166 3	Swing-across Cable 14402	20 Agility				5	
3301 3163 3	3315 3163 1	Teeth-grip Zip line 14403	20 Agility				15	
3318 3165 1	3317 3174 2	Swing-across Tropical tree 14404	20 Agility				8	
3316 3179 2	3316 3180 3	Climb Roof top beams 11634	20 Agility				4	
3314 3186 3	3302 3187 3	Cross Tightrope 14409	20 Agility				15	
3300 3192 3	3299 3194 0	Jump Gap 14399	20 Agility				2	
3142 3513 0	3137 3516 0	Climb-into Underwall tunnel 16530	21 Agility				7	
3137 3516 0	3142 3513 0	Climb-into Underwall tunnel 16529	21 Agility				7	
2449 3155 0	2444 3165 0	Grapple Rocks 31850	23 Agility;24 Ranged;28 Strength		5810=1			
2444 3165 0	2449 3155 0	open Door 255277	23 Agility;28 Strength;24 Ranged				5	Observatory Quest
2449 3155 0	2444 3165 0	Climb Rope 31849	23 Agility;28 Strength;24 Ranged				5	Observatory Quest
1369 3294 0	1369 3296 0	Climb-over Broken wall 56996	24 Agility				2	
1369 3296 0	1369 3294 0	Climb-over Broken wall 56996	24 Agility				2	
1389 3309 0	1391 3309 0	Climb-over Broken wall 56997	24 Agility				2	
1391 3309 0	1389 3309 0	Climb-over Broken wall 56997	24 Agility				2	
1387 3303 0	1387 3301 0	Climb-over Broken wall 56996	24 Agility				2	
1387 3301 0	1387 3303 0	Climb-over Broken wall 56996	24 Agility				2	
2322 3502 0	2324 3497 0	Climb Rocks 19849	25 Agility				6	
2324 3497 0	2322 3502 0	Climb Rocks 19849	25 Agility				6	
2948 3309 0	2948 3313 0	Climb-into Underwall tunnel 16527	26 Agility					
2948 3313 0	2948 3309 0	Climb-into Underwall tunnel 16528	26 Agility					
1613 10070 0	1609 10061 0	Jump-to Stone 28893	28 Agility					
1609 10061 0	1613 10070 0	Jump-to Stone 28893	28 Agility					
1324 3777 0	1324 3785 0	Climb Rocks 34397	29 Agility				8	
1324 3785 0	1324 3777 0	Climb Rocks 34397	29 Agility				8	
2485 2898 0	2489 2898 0	Climb-down Rocks 31759	30 Agility			176=10		
2489 2898 0	2485 2898 0	Climb-down Rocks 31758	30 Agility			176=10		
2925 2951 0	2925 2950 0	Cross Stepping stones 23645	30 Agility				2	
2925 2949 0	2925 2950 0	Cross Stepping stones 23645	30 Agility				2	
2925 2950 0	2925 2949 0	Cross Stepping stones 23646	30 Agility				2	
2925 2948 0	2925 2949 0	Cross Stepping stones 23646	30 Agility				2	
2925 2949 0	2925 2948 0	Cross Stepping stones 23647	30 Agility				2	
2925 2947 0	2925 2948 0	Cross Stepping stones 23647	30 Agility				2	
3221 3414 0	3219 3414 3	Climb Rough wall 14412	30 Agility				6	
3214 3414 3	3208 3414 3	Cross Clothes line 14413	30 Agility				6	
3201 3416 3	3197 3416 1	Leap Gap 14414	30 Agility				4	
3194 3416 1	3192 3406 3	Balance Wall 14832	30 Agility				19	
3192 3402 3	3192 3398 3	Leap Gap 14833	30 Agility				8	
3193 3402 3	3193 3398 3	Leap Gap 14833	30 Agility				8	
3194 3402 3	3194 3398 3	Leap Gap 14833	30 Agility				8	
3195 3402 3	3195 3398 3	Leap Gap 14833	30 Agility				8	
3196 3402 3	3196 3398 3	Leap Gap 14833	30 Agility				8	
3197 3402 3	3197 3398 3	Leap Gap 14833	30 Agility				8	
3198 3402 3	3198 3398 3	Leap Gap 14833	30 Agility				8	
3208 3401 3	3218 3399 3	Leap Gap 14834	30 Agility				5	
3208 3400 3	3218 3399 3	Leap Gap 14834	30 Agility				5	
3208 3399 3	3218 3399 3	Leap Gap 14834	30 Agility				5	
3208 3398 3	3218 3399 3	Leap Gap 14834	30 Agility				5	
3208 3397 3	3218 3399 3	Leap Gap 14834	30 Agility				5	
3208 3396 3	3218 3399 3	Leap Gap 14834	30 Agility				5	
3231 3402 3	3236 3403 3	Leap Gap 14835	30 Agility				5	
3236 3408 3	3236 3410 3	Hurdle Ledge 14836	30 Agility				3	
3237 3408 3	3237 3410 3	Hurdle Ledge 14836	30 Agility				3	
3238 3408 3	3238 3410 3	Hurdle Ledge 14836	30 Agility				3	
3239 3408 3	3239 3410 3	Hurdle Ledge 14836	30 Agility				3	
3240 3408 3	3240 3410 3	Hurdle Ledge 14836	30 Agility				3	
3236 3415 3	3236 3417 0	Jump-off Edge 14841	30 Agility				5	
3237 3415 3	3237 3417 0	Jump-off Edge 14841	30 Agility				5	
3238 3415 3	3238 3417 0	Jump-off Edge 14841	30 Agility				5	
3239 3415 3	3239 3417 0	Jump-off Edge 14841	30 Agility				5	
3240 3415 3	3240 3417 0	Jump-off Edge 14841	30 Agility				5	
3149 3363 0	3150 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3154 3363 0	3153 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3150 3363 0	3151 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3151 3363 0	3152 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3152 3363 0	3153 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3153 3363 0	3152 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3152 3363 0	3151 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
3151 3363 0	3150 3363 0	Jump-onto Stepping stone 16533	31 Agility				4	
2863 2971 0	2863 2976 0	Cross Stepping stone 16466	32 Agility				2	
2863 2976 0	2863 2971 0	Cross Stepping stone 16466	32 Agility				2	
2866 3428 0	2869 3428 0	Grapple Rocks 17042	32 Agility;35 Ranged;35 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2602 3336 0	2598 3336 0	Walk-across Log balance 16548	33 Agility					
2598 3336 0	2602 3336 0	Walk-across Log balance 16546	33 Agility					
2599 3337 0	2602 3336 0	Walk-across Log balance 16546	33 Agility					
1368 3327 0	1368 3323 0	Climb-into Tunnel 56989	33 Agility				5	
1368 3323 0	1368 3327 0	Climb-into Tunnel 56989	33 Agility				5	
2552 3558 0	2552 3561 0	Squeeze-through Obstacle pipe 20210	35 Agility				5	
2552 3561 0	2552 3558 0	Squeeze-through Obstacle pipe 20210	35 Agility				5	
3228 3470 0	3228 3471 0	Climb Trellis 2149	35 Agility				5	Garden of Tranquillity
1393 3309 0	1399 3309 0	Cross Stepping stone 56988	36 Agility				7	
1399 3309 0	1393 3309 0	Cross Stepping stone 56988	36 Agility				7	
2841 3427 0	2841 3433 0	Grapple Crossbow Tree 17062	36 Agility;39 Ranged;22 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2486 3515 0	2489 3521 0	Climb Rocks 16534	37 Agility			150=160	9	
2489 3521 0	2486 3515 0	Climb Rocks 16535	37 Agility			150=160	9	
3306 3315 0	3302 3315 0	Climb Rocks 16549	38 Agility					
3302 3315 0	3306 3315 0	Climb Rocks 16550	38 Agility					
2556 3072 0	2556 3073 1	Grapple Wall 17047	39 Agility;21 Ranged;38 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2556 3075 0	2556 3074 1	Grapple Wall 17047	39 Agility;21 Ranged;38 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
1614 3570 0	1610 3570 0	Cross Stepping stone 29729	40 Agility				2	
1610 3570 0	1614 3570 0	Cross Stepping stone 29729	40 Agility				2	
1603 3571 0	1607 3571 0	Cross Stepping stone 29730	40 Agility				2	
1607 3571 0	1603 3571 0	Cross Stepping stone 29730	40 Agility				2	
2580 9520 0	2580 9512 0	Walk-across Balancing ledge 23548	40 Agility				9	
2580 9512 0	2580 9520 0	Walk-across Balancing ledge 23548	40 Agility				9	
2578 9506 0	2572 9506 0	Squeeze-through Obstacle pipe 23140	40 Agility				10	
3508 3488 0	3506 3492 2	Climb Tall tree 14843	40 Agility				7	
3506 3496 2	3502 3504 2	Jump Gap 14844	40 Agility				5	
3505 3496 2	3502 3504 2	Jump Gap 14844	40 Agility				5	
3498 3505 2	3492 3504 2	Jump Gap 14845	40 Agility				8	
3498 3504 2	3492 3504 2	Jump Gap 14845	40 Agility				8	
3487 3499 2	3479 3499 3	Jump Gap 14848	40 Agility				5	
3478 3493 3	3478 3486 2	Jump Gap 14846	40 Agility				4	
3480 3484 2	3489 3476 3	Vault Pole-vault 14894	40 Agility				10	
3502 3476 3	3510 3476 2	Jump Gap 14847	40 Agility				4	
3510 3482 2	3510 3485 0	Jump Gap 14897	40 Agility				4	
1283 3147 0	1283 3138 0	Walk-across Log balance 57593	40 Agility				10	
1283 3138 0	1283 3147 0	Walk-across Log balance 57593	40 Agility				10	
2872 3671 0	2869 3671 0	Climb Rocks 16521	41 Agility					
2869 3671 0	2872 3671 0	Climb Rocks 16521	41 Agility					
1391 3323 0	1396 3323 0	Climb Rocks 56994	41 Agility				6	
1396 3323 0	1391 3323 0	Climb Rocks 56994	41 Agility				6	
3070 3257 0	3066 3257 0	Climb-into Underwall tunnel 19036	42 Agility					
3066 3257 0	3070 3257 0	Climb-into Underwall tunnel 19032	42 Agility					
3035 9806 0	3028 9806 0	Squeeze-through Crevice 16543	42 Agility					
3028 9806 0	3035 9806 0	Squeeze-through Crevice 16543	42 Agility					
2878 3665 0	2878 3668 0	Climb Rocks 16522	43 Agility					
2878 3668 0	2878 3665 0	Climb Rocks 16522	43 Agility					
2877 3666 0	2878 3668 0	Climb Rocks 16522	43 Agility					
2879 3667 0	2878 3665 0	Climb Rocks 16522	43 Agility					
2886 3684 0	2884 3684 0	Climb Rocks 3804	43 Agility					
2884 3684 0	2886 3684 0	Climb Rocks 3804	43 Agility					
2886 3683 0	2884 3683 0	Climb Rocks 3803	43 Agility					
2884 3683 0	2886 3683 0	Climb Rocks 3803	43 Agility					
1270 3002 0	1274 3002 0	Climb Rock 57604	43 Agility				4	
1274 3002 0	1270 3002 0	Climb Rock 57604	43 Agility				4	
2907 3682 0	2909 3684 0	Climb Rocks 16523	44 Agility					
2909 3684 0	2907 3682 0	Climb Rocks 16523	44 Agility					
1720 3551 0	1724 3551 0	Cross Stepping stone 29728	45 Agility				2	
1724 3551 0	1720 3551 0	Cross Stepping stone 29728	45 Agility				2	
1453 3336 0	1453 3329 0	Walk-across Log balance 56991	45 Agility				8	
1453 3329 0	1453 3336 0	Walk-across Log balance 56991	45 Agility				8	
1401 3291 0	1401 3283 0	Walk-across Log balance 56990	45 Agility				9	
1401 3283 0	1401 3291 0	Walk-across Log balance 56990	45 Agility				9	
2202 3237 0	2196 3237 0	Cross Log balance 3931	45 Agility				8	
2196 3237 0	2202 3237 0	Cross Log balance 3931	45 Agility				8	
2258 3250 0	2264 3250 0	Cross Log balance 3932	45 Agility				8	
2264 3250 0	2258 3250 0	Cross Log balance 3932	45 Agility				8	
2290 3232 0	2290 3239 0	Cross Log balance 3933	45 Agility				9	
2290 3239 0	2290 3232 0	Cross Log balance 3933	45 Agility				9	
1591 3258 0	1586 3262 0	Climb Rock 56983	45 Agility				8	
1590 3257 0	1586 3262 0	Climb Rock 56983	45 Agility				8	
1587 3262 0	1591 3257 0	Climb Rock 56983	45 Agility					
1586 3261 0	1591 3257 0	Climb Rock 56983	45 Agility					
2400 4402 0	2400 4404 0	Squeeze-past Jutting wall 17002	46 Agility				2	
2400 4404 0	2400 4402 0	Squeeze-past Jutting wall 17002	46 Agility				2	
3046 10326 0	3048 10336 0	Use Crevice 17030	46 Agility		6312=1		6	
2900 3680 0	2903 3680 0	Climb Rocks 16524	47 Agility					
2903 3680 0	2900 3680 0	Climb Rocks 16524	47 Agility					
2901 3679 0	2903 3680 0	Climb Rocks 16524	47 Agility					
2902 3681 0	2900 3680 0	Climb Rocks 16524	47 Agility					
1465 3128 0	1455 3128 0	Climb Rocks 51931	47 Agility				8	
1455 3128 0	1465 3128 0	Climb Rocks 51931	47 Agility				8	
2449 3155 0	2444 3165 0	Cross Stepping stone 10662	47 Agility			328=15	5	
2722 3592 0	2722 3596 0	Walk-across Log balance 16542	48 Agility				4	
2722 3596 0	2722 3592 0	Walk-across Log balance 16540	48 Agility				4	
1776 3884 0	1776 3880 0	Jump Boulder 27990	49 Agility				4	
3422 3325 0	3417 3325 0	Cross Stepping stone 13504	50 Agility					
3417 3325 0	3422 3325 0	Cross Stepping stone 13504	50 Agility					
2790 9295 0	2789 9296 0	Jump-over Jagged wall 2926	50 Agility			139>6	3	
2789 9296 0	2790 9295 0	Jump-over Jagged wall 2926	50 Agility			139>6	3	
3036 3341 0	3036 3342 3	Climb Rough wall 14898	50 Agility				3	
3039 3343 3	3047 3344 3	Cross Tightrope 14899	50 Agility				7	
3050 3349 3	3050 3357 3	Cross Hand holds 14901	50 Agility				12	
3048 3358 3	3048 3361 3	Jump Gap 14903	50 Agility				4	
3045 3361 3	3041 3361 3	Jump Gap 14904	50 Agility				3	
3045 3362 3	3041 3362 3	Jump Gap 14904	50 Agility				3	
3045 3363 3	3041 3363 3	Jump Gap 14904	50 Agility				3	
3045 3364 3	3041 3364 3	Jump Gap 14904	50 Agility				3	
3035 3362 3	3028 3354 3	Cross Tightrope 14905	50 Agility				11	
3027 3353 3	3020 3353 3	Cross Tightrope 14911	50 Agility				5	
3016 3352 3	3016 3349 3	Jump Gap 14919	50 Agility				4	
3017 3352 3	3017 3349 3	Jump Gap 14919	50 Agility				4	
3018 3352 3	3018 3349 3	Jump Gap 14919	50 Agility				4	
3017 3345 3	3014 3345 3	Jump Ledge 14920	50 Agility				5	
3017 3346 3	3014 3346 3	Jump Ledge 14920	50 Agility				5	
3011 3344 3	3011 3342 3	Jump Ledge 14921	50 Agility				3	
3012 3344 3	3012 3342 3	Jump Ledge 14921	50 Agility				3	
3013 3344 3	3013 3342 3	Jump Ledge 14921	50 Agility				3	
3012 3335 3	3012 3333 3	Jump Ledge 14922	50 Agility				2	
3013 3335 3	3013 3333 3	Jump Ledge 14922	50 Agility				2	
3013 3335 3	3015 3334 3	Jump Ledge 14922	50 Agility				2	
3017 3332 3	3019 3332 3	Jump Ledge 14924	50 Agility				5	
3017 3333 3	3019 3333 3	Jump Ledge 14924	50 Agility				5	
3017 3334 3	3019 3334 3	Jump Ledge 14924	50 Agility				5	
3024 3332 3	3029 3332 0	Jump Edge 14925	50 Agility				6	
3023 3332 3	3029 3332 0	Jump Edge 14925	50 Agility				6	
3022 3332 3	3029 3332 0	Jump Edge 14925	50 Agility				6	
3022 3333 3	3029 3333 0	Jump Edge 14925	50 Agility				6	
3022 3334 3	3029 3334 0	Jump Edge 14925	50 Agility				6	
3024 3335 3	3029 3335 0	Jump Edge 14925	50 Agility				6	
3023 3335 3	3029 3335 0	Jump Edge 14925	50 Agility				6	
3022 3335 3	3029 3335 0	Jump Edge 14925	50 Agility				6	
3180 2432 0	3180 2434 0	Climb Rocks 57928	50 Agility					
3180 2434 0	3180 2432 0	Climb Rocks 57927	50 Agility					
3149 9906 0	3155 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility					
3155 9906 0	3149 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility					
3150 9907 0	3155 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility					
3150 9905 0	3155 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility					
3154 9907 0	3149 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility					
3154 9905 0	3149 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility					
1769 3849 0	1774 3849 0	Climb Rocks 27988	52 Agility					
1774 3849 0	1769 3849 0	Climb Rocks 27988	52 Agility					
2998 3916 0	2998 3931 0	Open Door 23555	52 Agility					
2874 3133 0	2874 3127 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2874 3127 0	2874 3133 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2874 3136 0	2874 3142 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
2874 3142 0	2874 3136 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
1343 2917 0	1338 2917 0	Climb Rock 54776	54 Agility				4	
1338 2917 0	1343 2917 0	Climb Rock 54776	54 Agility				4	
2573 3859 0	2575 3861 0	Cross Stepping stone 11768	55 Agility					
2575 3861 0	2573 3859 0	Cross Stepping stone 11768	55 Agility					
2682 9548 0	2690 9547 0	Cross Stepping stone 19040	56 Agility				4	
2697 9525 0	2695 9533 0	Cross Stepping stone 19040	56 Agility				4	
2188 3162 0	2188 3165 0	Enter Dense forest 3999	56 Agility				4	
2188 3165 0	2188 3162 0	Enter Dense forest 3999	56 Agility				4	
2188 3165 0	2188 3168 0	Enter Dense forest 3939	56 Agility				4	
2188 3168 0	2188 3165 0	Enter Dense forest 3939	56 Agility				4	
2188 3168 0	2188 3171 0	Enter Dense forest 3998	56 Agility				4	
2188 3171 0	2188 3168 0	Enter Dense forest 3998	56 Agility				4	
2217 3169 0	2217 3166 0	Enter Dense forest 3939	56 Agility				4	
2217 3166 0	2217 3169 0	Enter Dense forest 3939	56 Agility				4	
2217 3166 0	2217 3163 0	Enter Dense forest 3938	56 Agility				4	
2217 3163 0	2217 3166 0	Enter Dense forest 3938	56 Agility				4	
2217 3163 0	2217 3160 0	Enter Dense forest 3939	56 Agility				4	
2217 3160 0	2217 3163 0	Enter Dense forest 3939	56 Agility				4	
2231 3149 0	2234 3149 0	Enter Dense forest 3937	56 Agility				4	
2234 3149 0	2231 3149 0	Enter Dense forest 3937	56 Agility				4	
