# Origin	Destination	menuOption menuTarget objectID	Varbits	Duration	Display info
1928 5731 0	2113 3915 0	Enter Lunar Isle Portal 29347		1	Lunar Isle Portal
1928 5731 0	2113 3915 0	Enter Lunar Isle Portal 29355		1	Lunar Isle Portal
1928 5731 0	2797 2798 1	Enter Marim Portal 29344		1	Marim Portal
1928 5731 0	2797 2798 1	Enter Marim Portal 29352		1	Marim Portal
1928 5731 0	2797 2798 1	Enter Marim Portal 29360		1	Marim Portal
1928 5731 0	2979 3510 0	Enter Mind Altar Portal 37585		1	Mind Altar Portal
1928 5731 0	2979 3510 0	Enter Mind Altar Portal 37597		1	Mind Altar Portal
1928 5731 0	2979 3510 0	Enter Mind Altar Portal 37609		1	Mind Altar Portal
1928 5731 0	2468 3246 0	Enter Ourania Portal 60794		1	Ourania Portal
1928 5731 0	2468 3246 0	Enter Ourania Portal 60804		1	Ourania Portal
1928 5731 0	2468 3246 0	Enter Ourania Portal 60814		1	Ourania Portal
1928 5731 0	3097 9881 0	Enter Paddewwa Portal 60791		1	Paddewwa Portal
1928 5731 0	3097 9881 0	Enter Paddewwa Portal 60801		1	Paddewwa Portal
1928 5731 0	3097 9881 0	Enter Paddewwa Portal 60811		1	Paddewwa Portal
1928 5731 0	2636 3167 0	Enter Port Khazard Portal 60796		1	Port Khazard Portal
1928 5731 0	2636 3167 0	Enter Port Khazard Portal 60806		1	Port Khazard Portal
1928 5731 0	2636 3167 0	Enter Port Khazard Portal 60816		1	Port Khazard Portal
1928 5731 0	3221 3218 0	Enter Respawn Portal 60798		1	Respawn Portal (Lumbridge)
1928 5731 0	2964 3378 0	Enter Respawn Portal 60798	668=1	1	Respawn Portal (Falador)
1928 5731 0	2757 3479 0	Enter Respawn Portal 60798	3910=1	1	Respawn Portal (Camelot)
1928 5731 0	3095 3469 0	Enter Respawn Portal 60798	621=1	1	Respawn Portal (Edgeville)
1928 5731 0	3265 6077 0	Enter Respawn Portal 60798		1	Respawn Portal (Prifddinas)
1928 5731 0	3151 3636 0	Enter Respawn Portal 60798	10528=1	1	Respawn Portal (Ferox Enclave)
1928 5731 0	1630 3674 0	Enter Respawn Portal 60798	12310=1	1	Respawn Portal (Kourend Castle)
1928 5731 0	1682 3135 0	Enter Respawn Portal 60798	9805=1	1	Respawn Portal (Civitas illa Fortis)
1928 5731 0	3433 3461 0	Enter Salve Graveyard Portal 37586		1	Salve Graveyard Portal
1928 5731 0	3433 3461 0	Enter Salve Graveyard Portal 37598		1	Salve Graveyard Portal
1928 5731 0	3433 3461 0	Enter Salve Graveyard Portal 37610		1	Salve Graveyard Portal
1928 5731 0	3320 3337 0	Enter Senntisten Portal 29340		1	Senntisten Portal
1928 5731 0	3320 3337 0	Enter Senntisten Portal 29348		1	Senntisten Portal
1928 5731 0	3320 3337 0	Enter Senntisten Portal 29356		1	Senntisten Portal
1928 5731 0	2890 3679 0	Enter Trollheim Portal 60790		1	Trollheim Portal
1928 5731 0	2890 3679 0	Enter Trollheim Portal 60800		1	Trollheim Portal
1928 5731 0	2890 3679 0	Enter Trollheim Portal 60810		1	Trollheim Portal
1928 5731 0	2845 3694 0	Enter Troll Stronghold Portal 33179	4493=0	1	Troll Stronghold Portal
1928 5731 0	2845 3694 0	Enter Troll Stronghold Portal 33180	4493=0	1	Troll Stronghold Portal
1928 5731 0	2845 3694 0	Enter Troll Stronghold Portal 33181	4493=0	1	Troll Stronghold Portal
1928 5731 0	2837 3695 0	Enter Troll Stronghold Portal 33179	4493=1	1	Troll Stronghold Portal
1928 5731 0	2837 3695 0	Enter Troll Stronghold Portal 33180	4493=1	1	Troll Stronghold Portal
1928 5731 0	2837 3695 0	Enter Troll Stronghold Portal 33181	4493=1	1	Troll Stronghold Portal
1928 5731 0	3213 3424 0	Varrock Varrock Portal 33092	4585=0	1	Varrock Portal
1928 5731 0	3213 3424 0	Varrock Varrock Portal 33098	4585=0	1	Varrock Portal
1928 5731 0	3213 3424 0	Varrock Varrock Portal 33104	4585=0	1	Varrock Portal
1928 5731 0	2546 3755 0	Enter Waterbirth Island Portal 29342		1	Waterbirth Island Portal
1928 5731 0	2546 3755 0	Enter Waterbirth Island Portal 29350		1	Waterbirth Island Portal
1928 5731 0	2546 3755 0	Enter Waterbirth Island Portal 29358		1	Waterbirth Island Portal
1928 5731 0	2846 3938 0	Enter Weiss Portal 37581		1	Weiss Portal
1928 5731 0	2846 3938 0	Enter Weiss Portal 37593		1	Weiss Portal
1928 5731 0	2846 3938 0	Enter Weiss Portal 37605		1	Weiss Portal
1928 5731 0	2500 3290 0	Enter West Ardougne Portal 37588		1	West Ardougne Portal
1928 5731 0	2500 3290 0	Enter West Ardougne Portal 37600		1	West Ardougne Portal
1928 5731 0	2500 3290 0	Enter West Ardougne Portal 37612		1	West Ardougne Portal
1864 5732 0	2546 3114 0	Watchtower Yanille Watchtower Portal 33096	4548=0	1	Watchtower Portal
1864 5732 0	2546 3114 0	Watchtower Yanille Watchtower Portal 33108	4548=0	1	Watchtower Portal
1864 5732 0	2546 3114 0	Watchtower Yanille Portal 33102	4548=0	1	Watchtower Portal
1864 5732 0	2584 3097 0	Yanille Yanille Portal 33097	4548=1	1	Yanille Portal
1864 5732 0	2584 3097 0	Yanille Yanille Portal 33103	4548=1	1	Yanille Portal
1864 5732 0	2584 3097 0	Yanille Yanille Portal 33109	4548=1	1	Yanille Portal
