# Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info	Consumable	Wilderness level	Varbits	VarPlayers	Region override
# Banker's Briefcase Bank Chests											
1781 3100 0			30361=1		4	Banker's Briefcase: Varlamore - Civitas illa Fortis east bank	F	60			
1646 3112 0			30361=1		4	Banker's Briefcase: Varlamore - Civitas illa Fortis west bank	F	60			
2929 3286 0			30361=1		4	Banker's Briefcase: Asgarnia - Crafting Guild	F	60			
3602 3366 0			30361=1		4	Banker's Briefcase: Morytania - Darkmeyer	F	60			
1937 2763 0			30361=1		4	Banker's Briefcase: Varlamore - Deepfin Point	F	60			
3013 9720 0			30361=1		4	Banker's Briefcase: Asgarnia - Dwarven Mine	F	60			
2619 3896 0			30361=1		4	Banker's Briefcase: Fremennik - Etceteria (North)	F	60			
2617 3852 0			30361=1		4	Banker's Briefcase: Fremennik - Etceteria (South)	F	60			
1254 3740 0			30361=1		4	Banker's Briefcase: Kourend - Farming Guild (south)	F	60			
1237 3757 0			30361=1		4	Banker's Briefcase: Kourend - Farming Guild (north)	F	60			
2588 3416 0			30361=1		4	Banker's Briefcase: Kandarin - Fishing Guild	F	60			
3038 6129 1			30361=1		4	Banker's Briefcase: Tirannwn - The Gauntlet lobby	F	60			
2202 3409 0			30361=1		4	Banker's Briefcase: Tirannwn - Gwenith	F	60			
1753 3596 0			30361=1		4	Banker's Briefcase: Kourend - Hosidius	F	60			
2402 3790 0			30361=1		4	Banker's Briefcase: Fremennik - Jatizso	F	60			
2834 10209 0			30361=1		4	Banker's Briefcase: Fremennik - Keldagrim	F	60			
1610 3683 2			30361=1		4	Banker's Briefcase: Kourend - Kourend Castle	F	60			
1507 3421 0			30361=1		4	Banker's Briefcase: Kourend - Land's End (north)	F	60			
1502 3410 0			30361=1		4	Banker's Briefcase: Kourend - Land's End (south)	F	60			
2731 3376 2			30361=1		4	Banker's Briefcase: Kandarin - Legends' Guild	F	60			
2350 3162 0			30361=1		4	Banker's Briefcase: Tirannwn - Lletya	F	60			
2102 3917 0			30361=1		4	Banker's Briefcase: Fremennik - Lunar Isle	F	60			
2151 3884 0			30361=1		4	Banker's Briefcase: Fremennik - Lunar Isle dock	F	60			
3108 10351 0			30361=1		4	Banker's Briefcase: Wilderness - Mage Arena	F	60			
1383 2869 0			30361=1		4	Banker's Briefcase: Varlamore - Mistrock	F	60			
2451 5179 0			30361=1		4	Banker's Briefcase: Karamja - Mor Ul Rek	F	60			
2541 5144 0			30361=1		4	Banker's Briefcase: Karamja - Mor Ul Rek Fight Cave	F	60			
3679 2984 0			30361=1		4	Banker's Briefcase: Morytania - Mos Le'Harmless	F	60			
3759 5664 0			30361=1		4	Banker's Briefcase: Asgarnia - Motherlode Mine	F	60			
1322 3824 0			30361=1		4	Banker's Briefcase: Kourend - Mount Karuulm	F	60			
1252 3571 0			30361=1		4	Banker's Briefcase: Kourend - Mount Quidamortem	F	60			
2462 2845 1			30361=1		4	Banker's Briefcase: Kandarin - Myths' Guild	F	60			
3429 2894 0			30361=1		4	Banker's Briefcase: Desert - Nardah	F	60			
2305 3774 0			30361=1		4	Banker's Briefcase: Fremennik - Neitiznot	F	60			
2330 3686 0			30361=1		4	Banker's Briefcase: Kandarin - Piscatoris Fishing Colony	F	60			
2664 3159 0			30361=1		4	Banker's Briefcase: Kandarin - Port Khazard	F	60			
3686 3471 0			30361=1		4	Banker's Briefcase: Morytania - Port Phasmatys	F	60			
1806 3785 0			30361=1		4	Banker's Briefcase: Kourend - Port Piscarilius (north)	F	60			
1847 3691 0			30361=1		4	Banker's Briefcase: Kourend - Port Piscarilius dock	F	60			
1872 3302 0			30361=1		4	Banker's Briefcase: Varlamore - Port Roberts	F	60			
1881 3311 0			30361=1		4	Banker's Briefcase: Varlamore - Port Roberts (north)	F	60			
1886 3295 0			30361=1		4	Banker's Briefcase: Varlamore - Port Roberts dock	F	60			
3295 6062 0			30361=1		4	Banker's Briefcase: Tirannwn - Prifddinas (South)	F	60			
3259 6105 0			30361=1		4	Banker's Briefcase: Tirannwn - Prifddinas (North)	F	60			
2166 3326 0			30361=1		4	Banker's Briefcase: Tirannwn - West of Prifddinas	F	60			
1518 3226 0			30361=1		4	Banker's Briefcase: Varlamore - Quetzacalli Gorge	F	60			
3041 4964 1			30361=1		4	Banker's Briefcase: Asgarnia - Rogues' Den	F	60			
3159 2834 0			30361=1		4	Banker's Briefcase: Desert - Ruins of Unkah	F	60			
1702 3527 0			30361=1		4	Banker's Briefcase: Kourend - Saltpetre mine	F	60			
2730 3492 0			30361=1		4	Banker's Briefcase: Kandarin - Seers' Village	F	60			
1501 3613 0			30361=1		4	Banker's Briefcase: Kourend - Shayzien	F	60			
2852 2951 0			30361=1		4	Banker's Briefcase: Karamja - Shilo Village	F	60			
1244 3122 0			30361=1		4	Banker's Briefcase: Varlamore - Tal Teklan	F	60			
3655 3209 0			30361=1		4	Banker's Briefcase: Morytania - Ver Sinhaza	F	60			
2669 2655 0			30361=1		4	Banker's Briefcase: Asgarnia - Void Knights' Outpost	F	60			
2656 2671 0			30361=1		4	Banker's Briefcase: Asgarnia - Void Knights' Outpost dock	F	60			
2846 3536 0			30361=1		4	Banker's Briefcase: Asgarnia - Warriors' Guild	F	60			
1636 3948 0			30361=1		4	Banker's Briefcase: Kourend - Wintertodt Camp	F	60			
1589 3476 0			30361=1		4	Banker's Briefcase: Kourend - Woodcutting Guild	F	60			
1649 3494 0			30361=1		4	Banker's Briefcase: Kourend - Woodcutting Guild (east)	F	60			
2611 3088 0			30361=1		4	Banker's Briefcase: Kandarin - Yanille	F	60			
2382 4462 0			30361=1		4	Banker's Briefcase: Varlamore - Zanaris	F	60			
# Banker's Briefcase Banks											
3268 3164 0			30361=1		4	Banker's Briefcase: Desert - Al Kharid	F	60			
1414 3353 0			30361=1		4	Banker's Briefcase: Varlamore - Auburnvale	F	60			
3494 3211 0			30361=1		4	Banker's Briefcase: Morytania - Burgh de Rott	F	60			
3513 3478 0			30361=1		4	Banker's Briefcase: Morytania - Canifis	F	60			
2807 3442 0			30361=1		4	Banker's Briefcase: Kandarin - Catherby	F	60			
2569 2865 0			30361=1		4	Banker's Briefcase: Kandarin - Corsair Cove	F	60			
3603 3368 0			30361=1		4	Banker's Briefcase: Morytania - Darkmeyer	F	60			
2618 3331 0			30361=1		4	Banker's Briefcase: Kandarin - East Ardougne North Bank	F	60			
2656 3280 0			30361=1		4	Banker's Briefcase: Kandarin - East Ardougne South Bank	F	60			
3010 3354 0			30361=1		4	Banker's Briefcase: Asgarnia - Falador East	F	60			
2945 3367 0			30361=1		4	Banker's Briefcase: Asgarnia - Falador West	F	60			
1248 3759 0			30361=1		4	Banker's Briefcase: Kourend - Farming Guild	F	60			
2585 3418 0			30361=1		4	Banker's Briefcase: Kandarin - Fishing Guild	F	60			
1747 3598 0			30361=1		4	Banker's Briefcase: Kourend - Hosidius	F	60			
1435 3822 0			30361=1		4	Banker's Briefcase: Kourend - Lovakengj north bank	F	60			
1520 3741 0			30361=1		4	Banker's Briefcase: Kourend - Lovakengj south bank	F	60			
3426 2889 0			30361=1		4	Banker's Briefcase: Desert - Nardah	F	60			
3690 3465 0			30361=1		4	Banker's Briefcase: Morytania - Port Phasmatys	F	60			
3255 6104 0			30361=1		4	Banker's Briefcase: Tirannwn - Prifddinas (North)	F	60			
3296 6058 0			30361=1		4	Banker's Briefcase: Tirannwn - Prifddinas (South)	F	60			
2728 3494 0			30361=1		4	Banker's Briefcase: Kandarin - Seers' Village	F	60			
1487 3591 0			30361=1		4	Banker's Briefcase: Kourend - Shayzien	F	60			
2801 5170 0			30361=1		4	Banker's Briefcase: Desert - Sophanem	F	60			
1244 3121 0			30361=1		4	Banker's Briefcase: Varlamore - Tal Teklan	F	60			
2441 3487 1			30361=1		4	Banker's Briefcase: Kandarin - Tree Gnome Stronghold (Grand Tree)	F	60			
2444 3425 1			30361=1		4	Banker's Briefcase: Kandarin - Tree Gnome Stronghold (South)	F	60			
3649 3207 0			30361=1		4	Banker's Briefcase: Morytania - Ver Sinhaza	F	60			
2842 3543 0			30361=1		4	Banker's Briefcase: Asgarnia - Warriors' Guild	F	60			
2614 3091 0			30361=1		4	Banker's Briefcase: Kandarin - Yanille	F	60			
# Evil Eye											
2873 9847 0			33227=1		4	Evil Eye: Asgarnia - Cerberus	F	60			
2882 5311 2			33227=1		4	Evil Eye: Asgarnia - Commander Zilyana	F	60			
1759 5189 0			33227=1		4	Evil Eye: Asgarnia - Giant Mole	F	60			
2882 5311 2			33227=1		4	Evil Eye: Asgarnia - General Graardor	F	60			
2882 5311 2			33227=1		4	Evil Eye: Asgarnia - Kree'arra	F	60			
2882 5311 2			33227=1		4	Evil Eye: Asgarnia - K'ril Tsutsaroth	F	60			
2882 5311 2			33227=1		4	Evil Eye: Asgarnia - Nex	F	60			
2952 9574 0			33227=1		4	Evil Eye: Asgarnia - Royal Titans	F	60			
2081 6372 0			33227=1		4	Evil Eye: Desert - Leviathan	F	60			
3148 2840 0			33227=1		4	Evil Eye: Desert - Tempoross	F	60			
2912 10336 0			33227=1		4	Evil Eye: Fremennik - Phantom Muspah	F	60			
2272 4051 0			33227=1		4	Evil Eye: Fremennik - Vorkath	F	60			
2278 3611 0			33227=1		4	Evil Eye: Kandarin - Kraken	F	60			
2412 3061 0			33227=1		4	Evil Eye: Kandarin - Thermonuclear smoke devil	F	60			
2437 5126 0			33227=1		4	Evil Eye: Karamja - Fight Cave	F	60			
2437 5126 0			33227=1		4	Evil Eye: Karamja - Inferno	F	60			
2437 5126 0			33227=1		4	Evil Eye: Karamja - TzHaar-Ket-Rak's Challenges	F	60			
1309 3807 0			33227=1		4	Evil Eye: Kourend - Alchemical Hydra	F	60			
1234 3573 0			33227=1		4	Evil Eye: Kourend - Chambers of Xeric	F	60			
1230 3730 0			33227=1		4	Evil Eye: Kourend - Hespori	F	60			
1646 3570 0			33227=1		4	Evil Eye: Kourend - Mimic	F	60			
1650 9987 0			33227=1		4	Evil Eye: Kourend - Sarachnis	F	60			
1666 10050 0			33227=1		4	Evil Eye: Kourend - Skotizo	F	60			
1630 3963 0			33227=1		4	Evil Eye: Kourend - Wintertodt	F	60			
1435 3669 0			33227=1		4	Evil Eye: Kourend - Yama	F	60			
3748 9373 0			33227=1		4	Evil Eye: Morytania - Araxxor	F	60			
3565 3289 0			33227=1		4	Evil Eye: Morytania - Barrows surface	F	60			
3551 9694 0			33227=1		4	Evil Eye: Morytania - Barrows chest	F	60			
3427 3541 0			33227=1		4	Evil Eye: Morytania - Grotesque Guardians	F	60			
3808 9700 0			33227=1		4	Evil Eye: Morytania - The Nightmare	F	60			
3646 3219 0			33227=1		4	Evil Eye: Morytania - Theatre of Blood	F	60			
3227 6114 0			33227=1	Song of the Elves	4	Evil Eye: Tirannwn - The Gauntlet	F	60			
3286 6059 0			33227=1	Song of the Elves	4	Evil Eye: Tirannwn - Zalcano	F	60			
2211 3057 0			33227=1		4	Evil Eye: Tirannwn - Zulrah	F	60			
1693 3232 0			33227=1	The Heart of Darkness	4	Evil Eye: Varlamore - Amoxliatl	F	60			
1309 3104 0			33227=1	The Final Dawn	4	Evil Eye: Varlamore - Doom of Mokhaiotl	F	60			
1795 3107 0			33227=1		4	Evil Eye: Varlamore - Fortis Colosseum	F	60			
1509 3290 0			33227=1		4	Evil Eye: Varlamore - The Hueycoatl	F	60			
3107 4791 0			33227=1		4	Evil Eye: Varlamore - Abyssal Sire	F	60			
1436 3130 0			33227=1		4	Evil Eye: Varlamore - Moons of Peril	F	60			
1129 3418 0			33227=1		4	Evil Eye: Varlamore - Vardorvis	F	60			
3115 3675 0			33227=1		4	Evil Eye: Wilderness - Artio	F	60			
3291 3849 0			33227=1		4	Evil Eye: Wilderness - Callisto	F	60			
3180 3682 0			33227=1		4	Evil Eye: Wilderness - Calvar'ion	F	60			
3261 3927 0			33227=1		4	Evil Eye: Wilderness - Chaos Elemental	F	60			
2979 3846 0			33227=1		4	Evil Eye: Wilderness - Chaos Fanatic	F	60			
2967 4254 0			33227=1		4	Evil Eye: Wilderness - Corporeal Beast	F	60			
2977 3702 0			33227=1		4	Evil Eye: Wilderness - Crazy Archaeologist	F	60			
2271 4680 0			33227=1		4	Evil Eye: Wilderness - King Black Dragon	F	60			
3232 3950 0			33227=1		4	Evil Eye: Wilderness - Scorpia	F	60			
3182 3744 0			33227=1		4	Evil Eye: Wilderness - Spindel	F	60			
3319 3798 0			33227=1		4	Evil Eye: Wilderness - Venenatis	F	60			
3219 3788 0			33227=1		4	Evil Eye: Wilderness - Vet'ion	F	60			
											
# Map of Alacrity											
2927 3523 0			33233=1		4	Map of Alacrity: Asgarnia - Burthorpe: Tight gap	F	60			
3035 9806 0			33233=1		4	Map of Alacrity: Asgarnia - Dwarf mine: Crevice	F	60			
2936 3355 0			33233=1		4	Map of Alacrity: Asgarnia - Falador: Crumbling wall	F	60			
3033 3390 0			33233=1		4	Map of Alacrity: Asgarnia - Falador: Wall grapple	F	60			
2948 3313 0			33233=1		4	Map of Alacrity: Asgarnia - Falador: Wall tunnel	F	60			
2901 3712 0			33233=1		4	Map of Alacrity: Asgarnia - God wars dungeon: Crack	F	60			
2927 3761 0			33233=1		4	Map of Alacrity: Asgarnia - God wars dungeon: Rocky handholds	F	60			
2913 5300 0			33233=1		4	Map of Alacrity: Asgarnia - God wars dungeon: Saradomin rope	F	60			
2899 9901 0			33233=1		4	Map of Alacrity: Asgarnia - Heroes' guild: Crevice	F	60			
2991 9547 0			33233=1		4	Map of Alacrity: Asgarnia - Ice dungeon: Giants tunnel	F	60			
3025 9571 0			33233=1		4	Map of Alacrity: Asgarnia - Ice dungeon: Wyvern/hobgoblin tunnel	F	60			
3024 9554 0			33233=1		4	Map of Alacrity: Asgarnia - Ice dungeon: Wyvern entry tunnel	F	60			
2997 3483 0			33233=1		4	Map of Alacrity: Asgarnia - Ice mountain: Rocks	F	60			
3754 5661 0			33233=1		4	Map of Alacrity: Asgarnia - Motherlode mine: North tunnel	F	60			
3754 5661 0			33233=1		4	Map of Alacrity: Asgarnia - Motherlode mine: South tunnel	F	60			
2946 3439 0			33233=1		4	Map of Alacrity: Asgarnia - Taverley: Wall climb	F	60			
2935 9810 0			33233=1		4	Map of Alacrity: Asgarnia - Taverley dungeon: Loose railing	F	60			
2886 9799 0			33233=1		4	Map of Alacrity: Asgarnia - Taverley dungeon: Blue dragon pipe	F	60			
2878 9813 0			33233=1		4	Map of Alacrity: Asgarnia - Taverley dungeon: Floor trap	F	60			
2838 3693 0			33233=1		4	Map of Alacrity: Asgarnia - Troll stronghold: Rooftop rocks	F	60			
2869 3671 0			33233=1		4	Map of Alacrity: Asgarnia - Trollheim: Easy climb	F	60			
2877 3666 0			33233=1		4	Map of Alacrity: Asgarnia - Trollheim: Medium climb	F	60			
2909 3684 0			33233=1		4	Map of Alacrity: Asgarnia - Trollheim: Advanced climb	F	60			
2902 3681 0			33233=1		4	Map of Alacrity: Asgarnia - Trollheim: Hard climb	F	60			
2946 3678 0			33233=1		4	Map of Alacrity: Asgarnia - Trollheim: Wilderness climb	F	60			ASGARNIA
3295 3159 0			33233=1		4	Map of Alacrity: Desert - Al Kharid: Palace window	F	60			
3306 3315 0			33233=1		4	Map of Alacrity: Desert - Al Kharid: Mine rocks	F	60			
3246 3179 0			33233=1		4	Map of Alacrity: Desert - Al Kharid: River grapple	F	60			
3500 9510 2			33233=1		4	Map of Alacrity: Desert - Kalphite lair: Crevice	F	60			
3212 3138 0			33233=1		4	Map of Alacrity: Desert - Kalphite lair: River stepping stone	F	60			
3295 2704 0			33233=1		4	Map of Alacrity: Desert - Necropolis: Stepping stone	F	60			
3372 2959 0			33233=1		4	Map of Alacrity: Desert - Pollnivneach: Stepping stone	F	60			
2771 10003 0			33233=1		4	Map of Alacrity: Fremennik - Slayer dungeon: Traps	F	60			
2735 10008 0			33233=1		4	Map of Alacrity: Fremennik - Slayer dungeon: Crevice	F	60			
2575 3861 0			33233=1		4	Map of Alacrity: Fremennik - Miscellania: Stepping stone	F	60			
2688 3697 0			33233=1		4	Map of Alacrity: Fremennik - Rellekka: Broken fence	F	60			
2742 3830 0			33233=1		4	Map of Alacrity: Fremennik - Rellekka: Hunter area handholds	F	60			
2547 3749 0			33233=1		4	Map of Alacrity: Fremennik - Waterbirth island: Rocks	F	60			
1853 4406 3			33233=1		4	Map of Alacrity: Fremennik - Waterbirth island: Dungeon crevice	F	60			
2602 3336 0			33233=1		4	Map of Alacrity: Kandarin - Ardougne: Log balance	F	60			
2522 3595 0			33233=1		4	Map of Alacrity: Kandarin - Barbarian outpost: Basalt causeway	F	60			KANDARIN
2866 3428 0			33233=1		4	Map of Alacrity: Kandarin - Catherby: Rock grapple	F	60			
2841 3427 0			33233=1		4	Map of Alacrity: Kandarin - Catherby: Water obelisk grapple	F	60			
2546 2871 0			33233=1		4	Map of Alacrity: Kandarin - Corsair cove: Rocks	F	60			
2485 2898 0			33233=1		4	Map of Alacrity: Kandarin - Corsair cove: Resource area rocks	F	60			
1981 8998 1			33233=1		4	Map of Alacrity: Kandarin - Corsair cove: Cave pillar jump	F	60			
2486 3515 0			33233=1		4	Map of Alacrity: Kandarin - Gnome Stronghold: Rock climb	F	60			
2322 3502 0			33233=1		4	Map of Alacrity: Kandarin - Eagles peak: Rocks	F	60			
2602 3478 0			33233=1		4	Map of Alacrity: Kandarin - Coal trucks: Log balance	F	60			
2449 3155 0			33233=1		4	Map of Alacrity: Kandarin - Observatory: Grapple	F	60			
2722 3592 0			33233=1		4	Map of Alacrity: Kandarin - Sinclair mansion: Log balance	F	60			KANDARIN
2429 9807 0			33233=1		4	Map of Alacrity: Kandarin - Stronghold slayer cave: Tunnel	F	60			
2561 3108 0			33233=1		4	Map of Alacrity: Kandarin - Yanille: Wall climb	F	60			
2575 3107 0			33233=1		4	Map of Alacrity: Kandarin - Yanille: Wall tunnel	F	60			
2556 3072 0			33233=1		4	Map of Alacrity: Kandarin - Yanille: Wall grapple	F	60			
2580 9512 0			33233=1		4	Map of Alacrity: Kandarin - Yanille dungeon: Ledge	F	60			
2578 9506 0			33233=1		4	Map of Alacrity: Kandarin - Yanille dungeon: Pipe	F	60			
2599 9494 0			33233=1		4	Map of Alacrity: Kandarin - Yanille dungeon: Monkeybars	F	60			
2616 9571 0			33233=1		4	Map of Alacrity: Kandarin - Yanille dungeon: Rubble	F	60			
2709 3209 0			33233=1		4	Map of Alacrity: Karamja - Brimhaven: Rope swing	F	60			
2651 9563 0			33233=1		4	Map of Alacrity: Karamja - Brimhaven dungeon: Moss giants	F	60			
2682 9506 0			33233=1		4	Map of Alacrity: Karamja - Brimhaven dungeon: Log balance	F	60			
2698 9492 0			33233=1		4	Map of Alacrity: Karamja - Brimhaven dungeon: Demon pipe	F	60			
2682 9548 0			33233=1		4	Map of Alacrity: Karamja - Brimhaven dungeon: Red dragon stepping stones	F	60			
2674 9583 0			33233=1		4	Map of Alacrity: Karamja - Brimhaven dungeon: Vine	F	60			
2797 2979 0			33233=1		4	Map of Alacrity: Karamja - Cairn isle: Rockslide	F	60			
2832 3247 0			33233=1		4	Map of Alacrity: Karamja - Crandor: Rock climb	F	60			
2899 2937 0			33233=1	Legends' Quest	4	Map of Alacrity: Karamja - Kharazi jungle: Vine	F	60			
2874 3142 0			33233=1		4	Map of Alacrity: Karamja - Musa point: Grapple	F	60			
2766 9342 0			33233=1	Legends' Quest	4	Map of Alacrity: Karamja - Shaman caves: Crevice	F	60			
2863 2971 0			33233=1		4	Map of Alacrity: Karamja - Shilo village: Stepping stone	F	60			
2871 3003 0			33233=1		4	Map of Alacrity: Karamja - Shilo village: Rocks	F	60			
2925 2951 0			33233=1		4	Map of Alacrity: Karamja - Waterfall: Stepping stones	F	60			
2381 4714 0			33233=1	Legends' Quest	4	Map of Alacrity: Karamja - Viyeldi caves: Rope	F	60			
1331 10227 0			33233=1		4	Map of Alacrity: Kourend - Karuulm slayer dungeon: Hydra pipe	F	60			
1324 3785 0			33233=1		4	Map of Alacrity: Kourend - Karuulm: Climb	F	60			
1776 3884 0			33233=1		4	Map of Alacrity: Kourend - Dense essence mine: Boulder jump	F	60			
1769 3849 0			33233=1		4	Map of Alacrity: Kourend - Dense essence mine: Rocks east	F	60			
1761 3872 0			33233=1		4	Map of Alacrity: Kourend - Dense essence mine: Rocks north	F	60			
1742 3854 0			33233=1		4	Map of Alacrity: Kourend - Dense essence mine: Rocks west	F	60			
1706 10078 0			33233=1		4	Map of Alacrity: Kourend - Catacombs: Crack north	F	60			
1647 10010 0			33233=1		4	Map of Alacrity: Kourend - Catacombs: Crack south	F	60			
1611 10066 0			33233=1		4	Map of Alacrity: Kourend - Catacombs: Dragons stepping stones	F	60			
1450 10095 0			33233=1		4	Map of Alacrity: Kourend - Chasm of fire: Gap	F	60			
1436 10075 0			33233=1		4	Map of Alacrity: Kourend - Chasm of fire: Chain	F	60			
1603 3571 0			33233=1		4	Map of Alacrity: Kourend - Hosidius: Lake stepping stones	F	60			
1720 3551 0			33233=1		4	Map of Alacrity: Kourend - Hosidius: River stepping stone	F	60			
1820 9946 0			33233=1		4	Map of Alacrity: Kourend - Forthos dungeon: Trap	F	60			
1630 4023 0			33233=1		4	Map of Alacrity: Kourend - Wintertodt: Gap	F	60			
3546 3282 0			33233=1		4	Map of Alacrity: Morytania - Barrows: Wall	F	60			
3474 3221 0			33233=1		4	Map of Alacrity: Morytania - Burgh de Rott: Fence	F	60			
3670 3375 0			33233=1	Sins of the Father	4	Map of Alacrity: Morytania - Darkmeyer: Wall climb	F	60			
3565 3379 0			33233=1	Sins of the Father	4	Map of Alacrity: Morytania - Darkmeyer: Wall rocks	F	60			
3504 3559 0			33233=1		4	Map of Alacrity: Morytania - Mausoleum: Bridge	F	60			
3557 9798 0			33233=1	Sins of the Father	4	Map of Alacrity: Morytania - Meyerditch lab: Cave	F	60			
